E and M values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,E_mean,E_std,M_mean,M_std,E_stdstd,M_stdstd
0.1,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.11,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.12,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.13,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.14,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.15,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.16,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.17,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.18,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.19,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.2,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.21,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.22,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.23,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.24,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.25,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.26,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.27,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.28,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.29,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.3,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.31,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.32,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.33,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.34,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.35,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.36,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.37,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.38,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.39,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.4,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.41,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.42,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.43,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.44,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.45,10000,-1.9999997599959374,1.3854562365844259e-05,0.999999940007925,3.4631244775299873e-06,1.3578801207664873e-05,3.394194460714922e-06
0.46,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.47,10000,-1.999999599993229,1.788437386141918e-05,0.9999999000132084,4.47042723178821e-06,1.734849241919682e-05,4.336476834034075e-06
0.48,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.49,10000,-1.9999994399905205,2.1158959254829774e-05,0.9999998600184917,5.2889515943938196e-06,2.030978987071704e-05,5.07669088185484e-06
0.5,10000,-1.9999969599485397,4.922235695536734e-05,0.9999992401003838,1.230375559419292e-05,4.029404569430916e-05,1.0232603731378751e-05
0.51,10000,-1.9999993599891663,2.261874709756892e-05,0.9999998400211334,5.653844174664264e-06,2.1699166703687523e-05,5.397953425129319e-06
0.52,10000,-1.9999995199918748,1.9590369899467353e-05,0.99999988001585,4.896862689071149e-06,1.890403391757411e-05,4.725304261172786e-06
0.53,10000,-1.9999976799607277,4.3019533400539554e-05,0.9999994200766087,1.075328077475862e-05,3.69635604207579e-05,9.232237891757065e-06
0.54,10000,-1.999998959982395,2.8826143192329164e-05,0.9999997400343418,7.205461958744178e-06,2.692380635294526e-05,6.7299486152683184e-06
0.55,10000,-1.999994479906559,6.90629500954127e-05,0.9999986201643943,1.7263577638794853e-05,4.947337580851441e-05,1.2884267951580157e-05
0.56,10000,-1.9999964799404144,5.2950019057928656e-05,0.9999991201162338,1.3235532255949238e-05,4.3443464703566105e-05,1.0535703290409823e-05
0.57,10000,-1.9999945599079132,6.574612337013845e-05,0.9999986401796341,1.6434081650038333e-05,4.9419050055746354e-05,1.1303754976742768e-05
0.58,10000,-1.9999928798794746,7.513652058694688e-05,0.9999982202351093,1.8781331140605485e-05,4.766596203454078e-05,1.1673172256848611e-05
0.59,10000,-1.999993039882183,7.429498817989069e-05,0.999998260229826,1.8570979387835883e-05,4.96914494390685e-05,1.1774053321925633e-05
0.6,10000,-1.999979359650612,0.00012933118985970733,0.9999948406517506,3.232834355425987e-05,4.814484625975697e-05,1.0505852593560305e-05
0.61,10000,-1.9999867197752,0.0001040769345872414,0.9999966804206372,2.601562918153486e-05,5.0623189881880015e-05,1.1594051605709473e-05
0.62,10000,-1.9999803196668624,0.00012392424101896884,0.9999950806498528,3.0976443795160204e-05,4.629730890823826e-05,1.0903815065964783e-05
0.63,10000,-1.9999864797711373,0.00010311920090370055,0.9999966204464436,2.5775958801364573e-05,4.622889535670138e-05,1.135937997369802e-05
0.64,10000,-1.9999699994921685,0.00015198941432626953,0.9999925009906292,3.799169163050471e-05,3.451107306647116e-05,1.043276889887748e-05
0.65,10000,-1.9999603193283082,0.0001840723897890661,0.9999900811374187,4.6012705666540954e-05,4.654170683277667e-05,1.1986688321897145e-05
0.66,10000,-1.999946719145775,0.000202332691874626,0.9999866016864777,5.1105913947092784e-05,4.166283755266153e-05,1.0810301759855869e-05
0.67,10000,-1.999947759115696,0.0001992594453802506,0.9999869416952133,4.980766999050376e-05,4.4969645145859026e-05,1.0828586616767833e-05
0.68,10000,-1.9999274787902832,0.00024061331900570007,0.999981842148304,6.031123057369697e-05,4.065835141747726e-05,1.0008950343672719e-05
0.69,10000,-1.9999201186537743,0.00025669710368662787,0.9999800223052502,6.421818768179818e-05,4.4448917313745985e-05,1.135059430080283e-05
0.7,10000,-1.9999241187214851,0.0002511181934498271,0.9999810221493244,6.282510706426384e-05,4.523110288281448e-05,1.1207028590548313e-05
0.71,10000,-1.9998908382177354,0.0002916004303380709,0.9999726031601429,7.343135924958988e-05,3.924718295887134e-05,1.0573418175250394e-05
0.72,10000,-1.9998773981690408,0.00032183875147741596,0.9999689432442188,8.215964580117318e-05,5.358578628399342e-05,1.4898960871259385e-05
0.73,10000,-1.9998621177792548,0.0003279762941252986,0.9999653238296509,8.297019805622206e-05,4.486631148024117e-05,1.1273304216732269e-05
0.74,10000,-1.99984315751791,0.00035263139600224966,0.9999604842543602,8.973755512571779e-05,4.790454494789232e-05,1.317052289257063e-05
0.75,10000,-1.9998260370969771,0.00038249538434511243,0.9999564443588257,9.598530924637529e-05,5.719311778833029e-05,1.4030720260952022e-05
0.76,10000,-1.9997825964689255,0.00041691092233380166,0.9999453654050827,0.00010539890945242503,4.936695636210153e-05,1.444499159317126e-05
0.77,10000,-1.9997637561917305,0.0004349580213390607,0.9999406254768372,0.00011000247825510698,5.1888390723861565e-05,1.2514771067342221e-05
0.78,10000,-1.9997158358573914,0.00047209664833672006,0.9999278262257576,0.0001209979883421657,4.785870817957104e-05,1.2020202981643822e-05
0.79,10000,-1.9996856748461724,0.0005070022179273257,0.9999211465418338,0.00012749735550422913,5.397785379226692e-05,1.4950890121231632e-05
0.8,10000,-1.9996132338643073,0.0005586074838480335,0.9999026475071907,0.00014116473548973573,5.349991431197151e-05,1.3831536250531646e-05
0.81,10000,-1.999563153040409,0.0005946540946961183,0.9998901078701019,0.00015037484712344186,5.714071239437681e-05,1.4896418453974573e-05
0.82,10000,-1.9995534331440925,0.0006059064527028858,0.9998872482895851,0.00015418076960480614,6.147471857662916e-05,1.472146148979027e-05
0.83,10000,-1.9994563113212585,0.0006510860784756122,0.9998632487177849,0.00016451018559502013,5.5104376693740734e-05,1.4182338886477502e-05
0.84,10000,-1.999446671295166,0.0006699326475288441,0.9998607891380787,0.0001695543183372908,6.911773071956925e-05,1.780259934303399e-05
0.85,10000,-1.9993438298344612,0.0007231462920786835,0.9998346089661121,0.00018365767819235787,5.6147662849944505e-05,1.7642497470971912e-05
