E and M values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,E_mean,E_std,M_mean,M_std,E_stdstd,M_stdstd
0.0,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.001,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.002,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.003,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.004,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.005,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.006,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.007,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.008,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.009,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.01,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.011,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.012,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.013,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.014,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.015,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.016,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.017,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.018,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.019,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.02,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.021,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.022,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.023,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.024,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.025,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.026,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.027,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.028,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.029,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.03,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.031,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.032,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.033,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.034,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.035,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.036,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.037,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.038,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.039,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.04,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.041,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.042,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.043,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.044,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.045,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.046,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.047,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.048,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.049,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.05,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.051,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.052,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.053,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.054,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.055,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.056,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.057,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.058,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.059,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.06,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.061,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.062,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.063,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.064,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.065,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.066,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.067,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.068,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.069,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.07,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.071,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.072,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.073,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.074,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.075,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.076,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.077,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.078,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.079,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.08,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.081,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.082,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.083,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.084,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.085,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.086,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.087,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.088,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.089,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.09,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.091,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.092,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.093,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.094,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.095,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.096,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.097,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.098,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.099,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.1,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.101,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.102,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.103,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.104,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.105,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.106,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.107,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.108,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.109,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.11,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.111,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.112,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.113,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.114,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.115,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.116,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.117,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.118,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.119,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.12,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.121,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.122,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.123,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.124,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.125,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.126,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.127,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.128,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.129,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.13,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.131,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.132,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.133,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.134,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.135,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.136,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.137,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.138,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.139,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.14,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.141,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.142,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.143,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.144,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.145,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.146,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.147,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.148,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.149,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.15,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.151,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.152,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.153,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.154,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.155,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.156,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.157,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.158,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.159,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.16,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.161,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.162,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.163,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.164,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.165,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.166,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.167,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.168,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.169,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.17,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.171,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.172,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.173,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.174,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.175,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.176,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.177,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.178,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.179,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.18,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.181,10000,-1.9999996799945832,1.599707046926773e-05,0.9999999200105667,3.998671690090389e-06,1.559841777806623e-05,3.899023368008658e-06
0.182,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.183,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.184,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.185,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.186,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.187,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.188,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.189,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.19,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.191,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.192,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.193,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.194,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.195,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.196,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.197,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.198,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.199,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.2,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.201,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.202,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.203,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.204,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.205,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.206,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.207,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.208,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.209,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.21,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.211,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.212,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.213,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.214,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.215,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.216,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.217,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.218,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.219,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.22,10000,-2.0,0.0,1.0,0.0,0.0,0.0
0.221,10000,-2.0,0.0,1.0,0.0,0.0,0.0
