Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,mean_d10,mean_d11,mean_d12,mean_d13,mean_d14,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,std_d10,std_d11,std_d12,std_d13,std_d14
1.0,500.0,6.3944891926439595e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,-2.49439980234456e-06,1.9500447860991698e-06,-2.49439980234456e-06,4.624284932271896e-44,0.0001360360941083392,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,7.741794506314908e-06,9.880839995457634e-05,7.741794506314908e-06,0.0
1.01,500.0,-3.097997774602845e-06,-3.097997774602845e-06,-3.097997774602845e-06,1.3464468138408848e-06,1.3464468138408848e-06,1.3464465955621564e-06,1.3464468138408848e-06,-3.097997774602845e-06,-3.097997774602845e-06,-3.097997774602845e-06,-3.097997774602845e-06,-3.097997774602845e-06,-3.097997774602845e-06,4.624284932271896e-44,7.047610952798626e-06,7.047610952798626e-06,7.047610952798626e-06,9.87835950703882e-05,9.878359507038811e-05,9.766595279908508e-05,9.878359507038818e-05,7.047610952798626e-06,7.047610952798626e-06,7.047610952798626e-06,7.047610952798626e-06,7.047610952798626e-06,7.047610952798626e-06,0.0
1.02,500.0,-2.5723504832058097e-06,1.8720941052379203e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,1.8720938869591919e-06,-2.5723504832058097e-06,-2.5723504832058097e-06,4.624284932271896e-44,5.848782475477342e-06,9.86816379617524e-05,5.848782475477342e-06,5.848782475477342e-06,5.848782475477342e-06,5.848782475477342e-06,5.848782475477342e-06,5.848782475477342e-06,5.848782475477342e-06,5.848782475477342e-06,9.756282771715276e-05,5.848782475477342e-06,5.848782475477342e-06,0.0
1.03,500.0,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,1.4663939427919105e-06,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,-2.978050427373091e-06,4.624284932271896e-44,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,9.764912367294015e-05,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,6.888253530921979e-06,0.0
1.04,500.0,1.3888064058846793e-06,-3.0556381825590505e-06,1.3888064058846793e-06,-3.0556381825590505e-06,-3.0556381825590505e-06,-3.0556381825590505e-06,-3.0556381825590505e-06,-3.0556381825590505e-06,1.388806187605951e-06,1.388806187605951e-06,1.3888064058846793e-06,-3.0556381825590505e-06,-3.0556381825590505e-06,4.624284932271896e-44,9.879658170740968e-05,7.253361420730785e-06,9.879658170740972e-05,7.253361420730785e-06,7.253361420730785e-06,7.253361420730785e-06,7.253361420730785e-06,7.253361420730785e-06,9.76790880291688e-05,9.76790880291687e-05,9.879658170740968e-05,7.253361420730785e-06,7.253361420730785e-06,0.0
1.05,500.0,4.537961816822644e-06,-4.3509271417860875e-06,-4.3509271417860875e-06,-4.3509271417860875e-06,-4.3509271417860875e-06,-4.3509271417860875e-06,-4.3509271417860875e-06,9.35172283789143e-08,-4.3509271417860875e-06,-4.3509271417860875e-06,-4.3509271417860875e-06,-4.3509271417860875e-06,9.351744665764273e-08,4.624284932271896e-44,0.0001387641675412681,8.673333612004207e-06,8.673333612004207e-06,8.673333612004207e-06,8.673333612004207e-06,8.673333612004207e-06,8.673333612004207e-06,9.785363243998966e-05,8.673333612004207e-06,8.673333612004207e-06,8.673333612004207e-06,8.673333612004207e-06,9.896915530166386e-05,0.0
1.06,500.0,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,5.664209125825437e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,-3.2246796145045663e-06,4.624284932271896e-44,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,0.00013780481355057527,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,7.0343198423666225e-06,0.0
1.07,500.0,-4.755026490784076e-06,-4.755026490784076e-06,-4.755026490784076e-06,-3.1058190234034555e-07,-4.755026490784076e-06,-4.755026490784076e-06,-4.755026490784076e-06,-4.755026490784076e-06,-3.1058212061907397e-07,-4.755026490784076e-06,-3.1058212061907397e-07,4.133862467824656e-06,-3.1058190234034555e-07,4.624284932271896e-44,1.1180424904255235e-05,1.1180424904255235e-05,1.1180424904255235e-05,9.923840426240831e-05,1.1180424904255235e-05,1.1180424904255235e-05,1.1180424904255235e-05,1.1180424904255235e-05,9.812594234425729e-05,1.1180424904255235e-05,9.812594234425726e-05,0.00013896925331525234,9.923840426240854e-05,0.0
1.08,500.0,-4.645435534257558e-06,-2.0099116409255658e-07,-4.645435534257558e-06,-4.645435534257558e-06,-4.645435534257558e-06,4.243453424351174e-06,-4.645435534257558e-06,-4.645435534257558e-06,-4.645435534257558e-06,-4.645435534257558e-06,-4.645435534257558e-06,-4.645435534257558e-06,-2.0099090943404008e-07,4.624284932271896e-44,9.13135501249562e-06,9.790866234636e-05,9.13135501249562e-06,9.13135501249562e-06,9.13135501249562e-06,0.00013881240876318125,9.13135501249562e-06,9.13135501249562e-06,9.13135501249562e-06,9.13135501249562e-06,9.13135501249562e-06,9.13135501249562e-06,9.632822908997438e-05,0.0
1.09,500.0,-5.446603579912335e-06,-5.446603579912335e-06,-1.0021589914686046e-06,-1.002159209747333e-06,-5.446603579912335e-06,-5.446603579912335e-06,-5.446603579912335e-06,-5.446603579912335e-06,-1.0021589550888167e-06,3.4422856333549135e-06,-5.446603579912335e-06,3.4422853786963968e-06,-5.446603579912335e-06,4.624284932271896e-44,1.1332760767960223e-05,1.1332760767960223e-05,9.928664461162819e-05,9.817472932650906e-05,1.1332760767960223e-05,1.1332760767960223e-05,1.1332760767960223e-05,1.1332760767960223e-05,9.65986492446878e-05,0.00013791736363412473,1.1332760767960223e-05,0.00013902581643883988,1.1332760767960223e-05,0.0
